TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
500.0,3,9,2.21
1260.0,4,21,8.04
800.0,3,14,3.53
800.0,5,15,3.2
750.0,4,14,4.7
1190.0,6,21,8.0
1350.0,6,25,8.45
1540.0,5,27,4.19
750.0,4,14,2.29
1200.0,6,23,4.77
900.0,4,17,2.43
500.0,4,9,2.48
950.0,5,18,4.01
1160.0,4,21,7.98
1710.0,7,28,6.83
830.0,4,14,2.93
700.0,3,12,8.35
800.0,4,14,5.12
750.0,4,14,3.22
1600.0,9,29,4.95
550.0,3,10,2.11
1320.0,6,24,5.22
1200.0,5,23,8.27
1460.0,6,25,6.61
550.0,2,10,7.52
600.0,4,11,2.64
750.0,3,14,7.72
500.0,2,9,7.67
500.0,4,9,1.98
450.0,4,8,1.8
1260.0,5,23,7.91
1150.0,5,21,8.03
1540.0,6,26,7.26
1150.0,4,21,8.09
600.0,3,11,1.96
450.0,2,8,8.26
1090.0,5,18,4.47
950.0,4,18,3.45
990.0,5,17,3.56
650.0,3,12,3.23
650.0,3,12,2.09
450.0,2,8,7.98
500.0,3,9,1.55
1450.0,9,27,8.22
960.0,6,17,8.06
1760.0,6,29,8.12
900.0,4,17,4.5
860.0,4,14,3.14
1460.0,5,25,7.03
650.0,4,12,8.33
250.0,1,4,8.53
1090.0,4,19,7.7
970.0,4,17,2.28
700.0,3,13,2.62
1660.0,6,29,8.11
700.0,4,13,2.16
550.0,4,10,1.83
650.0,2,12,8.18
1300.0,7,23,3.42
600.0,3,9,2.25
1250.0,6,24,8.16
900.0,4,17,3.94
1470.0,7,26,7.51
840.0,5,15,3.84
550.0,4,10,1.97
900.0,4,15,3.0
250.0,1,4,8.54
1420.0,6,26,5.35
1990.0,7,32,7.61
850.0,4,15,3.83
650.0,3,12,1.89
600.0,2,10,7.61
1910.0,8,34,8.02
1380.0,6,22,5.03
950.0,5,16,2.51
850.0,4,15,1.93
700.0,3,13,7.55
750.0,4,14,3.04
1050.0,4,16,3.01
900.0,4,17,8.23
450.0,4,8,1.91
1340.0,6,23,8.18
900.0,5,17,7.63
700.0,3,11,2.07
1400.0,5,22,5.31
700.0,4,13,8.25
850.0,4,15,4.34
1430.0,8,27,5.66
1750.0,7,30,5.74
650.0,2,12,7.99
600.0,3,9,2.19
850.0,5,16,2.6
1600.0,7,27,5.86
650.0,3,11,2.08
650.0,4,11,2.21
700.0,4,11,2.39
600.0,3,11,8.05
1760.0,7,32,7.96
1060.0,3,16,8.1
1340.0,5,25,7.79
750.0,5,14,2.75
910.0,3,13,3.06
1350.0,6,26,8.17
250.0,1,4,8.52
550.0,4,10,2.88
950.0,5,18,3.38
1290.0,6,24,8.39
1550.0,8,29,6.19
550.0,3,10,8.11
850.0,4,15,3.34
650.0,3,12,2.23
1250.0,5,21,8.1
700.0,4,13,2.85
1230.0,6,20,4.92
1150.0,5,19,8.5
1260.0,6,23,7.81
990.0,5,17,4.93
900.0,4,16,2.83
690.0,4,11,5.67
1750.0,7,32,5.98
1310.0,7,23,3.72
1400.0,6,27,5.04
1100.0,5,18,5.36
950.0,4,18,3.59
600.0,2,11,7.91
1510.0,8,28,4.21
900.0,3,16,8.03
890.0,5,16,2.71
600.0,3,11,2.12
750.0,4,14,4.09
300.0,2,5,8.59
1320.0,5,24,5.89
400.0,3,7,1.55
1510.0,6,26,7.89
960.0,5,15,8.06
1100.0,4,21,7.98
500.0,4,9,1.64
910.0,3,13,7.59
950.0,4,16,3.06
600.0,3,11,2.19
990.0,5,17,8.2
500.0,3,9,1.93
600.0,4,11,2.15
250.0,1,4,8.39
700.0,5,12,3.44
550.0,3,10,4.6
1210.0,5,21,8.35
1410.0,6,25,7.96
1760.0,7,29,7.96
1010.0,4,17,8.1
800.0,4,15,3.17
700.0,3,13,7.51
800.0,4,15,8.36
600.0,3,11,2.36
1580.0,6,27,7.81
600.0,4,10,1.7
1360.0,5,25,7.2
1650.0,6,28,6.51
1050.0,4,19,7.57
700.0,4,11,1.95
750.0,3,12,2.27
1360.0,7,20,4.51
860.0,4,15,4.18
450.0,4,8,1.59
700.0,3,13,2.14
1470.0,6,26,5.75
700.0,4,12,2.12
1400.0,6,25,3.28
250.0,1,4,8.33
900.0,6,17,3.42
650.0,4,12,1.98
600.0,4,11,2.27
1470.0,6,22,4.97
650.0,3,12,7.96
1400.0,6,24,8.0
910.0,4,16,2.78
800.0,3,14,2.05
1310.0,5,24,4.89
650.0,2,12,8.03
900.0,4,17,3.02
500.0,3,9,2.4
600.0,4,11,7.96
950.0,5,17,7.57
1140.0,6,18,4.63
1470.0,7,27,5.09
1430.0,7,26,4.04
550.0,3,10,1.95
2290.0,9,40,6.12
1330.0,5,23,8.33
500.0,3,9,2.17
850.0,4,14,2.26
900.0,4,15,7.89
1920.0,8,33,6.85
1260.0,6,22,7.6
850.0,3,16,8.05
800.0,4,14,7.85
1010.0,4,17,7.76
850.0,4,16,2.81
900.0,4,15,6.16
1920.0,7,31,8.07
1150.0,5,22,4.63
1770.0,7,32,7.46
860.0,3,15,7.61
600.0,2,11,7.86
840.0,5,13,3.17
860.0,5,15,2.63
890.0,5,16,5.48
1810.0,7,30,6.54
650.0,4,11,2.05
980.0,4,17,6.02
730.0,5,13,2.35
850.0,4,16,5.84
900.0,5,16,4.28
1250.0,6,24,3.63
850.0,6,16,2.97
900.0,5,15,6.1
1270.0,6,21,5.08
1360.0,5,22,5.27
1330.0,7,22,8.09
640.0,3,11,7.7
850.0,4,14,3.06
1400.0,6,26,7.97
550.0,3,10,2.03
700.0,4,13,2.26
650.0,4,11,8.46
250.0,1,4,8.45
660.0,3,11,1.91
810.0,4,14,3.83
750.0,5,14,2.45
700.0,3,13,7.99
1420.0,5,25,8.27
1100.0,6,21,3.93
900.0,4,16,2.61
900.0,4,16,2.72
500.0,3,9,1.76
500.0,2,9,8.01
740.0,5,13,6.26
1050.0,4,20,8.11
700.0,4,13,2.97
700.0,2,12,7.85
690.0,3,11,2.31
1630.0,6,27,7.73
1610.0,7,27,7.95
900.0,4,17,7.83
790.0,4,13,2.8
1150.0,5,21,7.94
790.0,5,13,4.67
650.0,3,12,7.84
1460.0,6,26,5.54
650.0,4,12,2.69
1250.0,6,24,4.78
1070.0,4,19,8.0
1270.0,4,21,8.2
650.0,3,12,2.73
750.0,4,13,3.0
600.0,4,11,3.13
250.0,1,4,8.47
850.0,5,15,2.51
1530.0,7,26,5.2
2430.0,10,39,7.96
800.0,4,13,2.46
600.0,3,11,2.37
450.0,3,8,2.34
1250.0,6,22,8.15
950.0,4,17,7.7
910.0,4,16,2.46
250.0,1,4,8.29
1540.0,6,27,6.8
700.0,3,13,8.11
950.0,4,17,8.14
500.0,3,9,1.93
800.0,4,14,2.26
1700.0,7,29,7.2
400.0,3,6,1.51
1420.0,7,22,5.42
1460.0,5,22,7.85
600.0,3,11,2.01
990.0,5,17,6.63
800.0,4,15,3.01
600.0,3,11,2.44
650.0,4,12,5.04
550.0,3,10,7.55
500.0,2,9,8.07
1300.0,7,25,4.2
1300.0,6,24,8.13
550.0,3,10,2.17
1250.0,5,24,3.89
700.0,4,13,8.03
700.0,4,11,2.25
1000.0,4,18,3.4
600.0,3,11,1.9
550.0,4,10,3.55
2290.0,8,39,6.44
750.0,4,13,2.58
500.0,3,9,2.69
1060.0,4,17,3.7
1040.0,4,18,8.1
1760.0,7,30,6.61
800.0,3,14,7.97
1510.0,8,28,6.16
800.0,4,13,1.99
600.0,4,11,5.77
1300.0,6,19,3.33
350.0,3,6,1.92
700.0,2,11,8.05
900.0,4,17,2.76
1300.0,6,23,8.12
850.0,4,16,4.24
550.0,3,10,1.78
600.0,3,10,2.73
860.0,3,13,2.89
900.0,3,13,7.8
1400.0,8,27,5.58
950.0,5,18,2.84
1970.0,8,34,7.44
950.0,5,16,2.44
700.0,3,13,7.9
650.0,3,11,1.85
650.0,5,12,4.59
850.0,4,16,2.98
940.0,4,17,3.85
1250.0,5,23,4.79
600.0,3,11,2.1
1500.0,8,28,6.79
850.0,5,16,3.29
1660.0,6,31,8.16
1830.0,6,33,8.19
850.0,4,16,8.39
1460.0,7,26,6.11
250.0,1,4,8.54
1400.0,6,27,8.25
1650.0,7,31,5.98
550.0,3,10,1.85
750.0,3,14,8.3
600.0,4,11,1.9
550.0,4,10,2.04
950.0,5,17,2.76
960.0,4,17,4.94
700.0,4,13,4.88
