TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
200.0,1,4,0.33
50.0,1,1,0.25
200.0,1,4,0.29
100.0,1,2,0.24
150.0,1,3,0.48
0.0,1,0,0.23
300.0,1,6,0.6
100.0,1,2,0.45
150.0,1,3,0.42
50.0,1,1,0.31
100.0,1,2,0.27
200.0,1,4,0.49
280.0,1,5,0.69
50.0,1,1,0.29
300.0,1,6,0.58
150.0,1,3,0.31
50.0,1,1,0.35
250.0,1,5,0.45
0.0,1,0,0.25
100.0,1,2,0.25
250.0,1,5,0.56
200.0,1,4,0.37
250.0,1,5,0.34
150.0,1,3,0.24
150.0,1,3,0.32
450.0,1,9,0.57
150.0,1,3,0.43
150.0,1,3,0.36
50.0,1,1,0.24
100.0,1,2,0.25
50.0,1,1,0.25
100.0,1,2,0.27
150.0,1,3,0.53
0.0,1,0,0.31
0.0,1,0,0.28
300.0,1,6,0.73
300.0,1,6,0.66
100.0,1,2,0.33
450.0,1,9,0.61
400.0,1,8,0.53
200.0,1,4,0.46
100.0,1,2,0.25
150.0,1,3,0.32
100.0,1,2,0.36
200.0,1,4,0.37
250.0,1,5,0.67
150.0,1,3,0.37
300.0,1,6,0.59
100.0,1,2,0.35
50.0,1,1,0.27
100.0,1,2,0.24
100.0,1,2,0.25
150.0,1,3,0.53
100.0,1,2,0.36
200.0,1,4,0.38
100.0,1,2,0.48
0.0,1,0,0.28
250.0,1,5,0.39
350.0,1,7,0.46
200.0,1,4,0.24
300.0,1,6,0.42
460.0,1,8,0.97
150.0,1,3,0.32
500.0,1,10,0.51
150.0,1,3,0.28
100.0,1,2,0.26
100.0,1,2,0.31
400.0,1,8,0.7
200.0,1,4,0.41
200.0,1,4,0.4
200.0,1,4,0.54
300.0,1,6,0.63
150.0,1,3,0.38
0.0,1,0,0.23
100.0,1,2,0.22
100.0,1,2,0.44
150.0,1,3,0.33
150.0,1,3,0.38
50.0,1,1,0.34
100.0,1,2,0.34
200.0,1,4,0.31
50.0,1,1,0.24
200.0,1,4,0.41
100.0,1,2,0.33
300.0,1,4,0.44
0.0,1,0,0.25
400.0,1,8,0.58
