TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
400.0,3,7,1.17
700.0,3,13,3.97
300.0,3,5,0.87
950.0,4,18,3.5
450.0,3,8,1.43
500.0,3,9,1.45
600.0,3,11,1.71
250.0,3,4,1.19
570.0,3,9,3.79
550.0,3,10,1.46
660.0,3,11,2.05
700.0,3,13,2.35
350.0,3,6,1.15
820.0,4,14,6.9
500.0,2,9,6.74
650.0,3,12,2.03
700.0,3,13,6.93
550.0,3,10,1.33
550.0,4,10,5.84
650.0,4,12,5.56
800.0,3,15,2.01
710.0,3,12,1.89
650.0,3,12,4.22
400.0,3,7,1.23
400.0,3,5,1.58
450.0,3,8,5.96
300.0,3,5,1.08
500.0,3,9,1.32
650.0,4,12,2.98
550.0,3,10,2.0
550.0,3,8,1.16
600.0,3,11,2.29
750.0,4,14,1.73
450.0,3,8,1.67
1210.0,5,22,7.21
910.0,3,16,7.27
490.0,3,8,1.46
400.0,3,7,1.5
400.0,3,7,1.15
590.0,3,10,8.39
990.0,4,18,5.82
450.0,3,8,2.0
800.0,3,15,8.74
400.0,3,7,1.43
650.0,3,12,8.13
600.0,3,11,1.6
400.0,3,7,1.79
740.0,4,13,1.8
300.0,3,5,1.91
350.0,3,4,0.79
440.0,3,7,3.42
650.0,3,12,3.89
750.0,3,14,7.46
1150.0,5,20,6.43
1120.0,5,20,7.14
900.0,4,17,4.57
650.0,3,12,4.08
200.0,3,3,0.87
1320.0,5,24,7.18
700.0,3,13,5.82
650.0,3,12,7.1
400.0,3,7,1.35
500.0,3,9,1.22
660.0,3,11,3.91
720.0,4,12,3.36
1470.0,5,27,6.7
1860.0,8,33,4.71
650.0,3,12,2.47
410.0,3,6,7.18
750.0,4,14,7.65
1160.0,5,19,6.63
600.0,2,11,7.71
600.0,2,11,9.44
900.0,4,17,8.15
600.0,3,11,2.14
1540.0,6,29,8.08
550.0,3,10,7.8
400.0,3,7,2.07
700.0,3,13,2.67
440.0,4,7,3.3
800.0,4,15,2.88
710.0,3,12,2.55
900.0,4,17,7.45
550.0,3,10,1.66
450.0,2,8,7.23
600.0,3,11,7.47
450.0,3,8,2.08
1830.0,6,33,7.16
660.0,3,11,2.13
450.0,3,8,1.37
760.0,3,13,6.23
850.0,5,14,2.13
600.0,4,11,1.96
450.0,3,8,0.97
500.0,3,9,1.33
900.0,4,17,6.8
600.0,3,11,2.12
400.0,3,7,1.48
700.0,4,11,2.29
570.0,3,9,3.04
450.0,3,8,1.75
1260.0,6,22,4.99
790.0,4,14,2.47
900.0,5,17,3.28
400.0,2,7,6.86
1330.0,5,24,5.01
600.0,4,11,2.38
200.0,3,3,0.86
710.0,3,12,3.23
700.0,3,13,7.14
1610.0,6,30,7.48
500.0,3,9,2.02
550.0,3,10,7.07
200.0,3,3,0.99
250.0,1,4,8.01
750.0,4,14,5.43
300.0,3,5,0.95
450.0,3,8,0.99
